,host_country,year,distance,style,month,week,median_pace,max_pace,n_ski,tourist
0,ARG,2014,21.0,CT,8,33,9.578107183580387,18.538499264345266,57,0.07017543859649122
1,ARG,2014,21.0,FT,10,41,9.485992142824578,12.007623888182973,10,0.0
2,ARG,2014,42.0,FT,10,41,11.536700747749121,16.79253665037761,25,0.32
3,ARG,2015,21.0,CT,8,34,8.494878809359255,16.328293736501077,86,0.1511627906976744
4,ARG,2015,21.0,FT,9,37,16.085106382978722,21.099637175551212,21,0.5714285714285714
5,ARG,2015,42.0,FT,9,37,14.539918896795193,22.51675353685778,94,0.6170212765957447
6,ARG,2016,21.0,CT,8,33,12.009531374106434,22.105263157894736,55,0.07272727272727272
7,ARG,2017,21.0,FT,8,33,11.026837806301051,19.87904286089929,77,0.18181818181818182
8,ARG,2017,24.0,CT,12,49,11.288708318611633,21.97914016789621,30,0.5333333333333333
9,ARG,2017,48.0,CT,12,49,12.55813953488372,21.088601415670002,61,0.6721311475409836
10,AUS,2012,21.0,FT,8,34,13.742955826213416,27.0,283,0.10600706713780919
11,AUS,2012,42.0,FT,8,34,16.835576974004077,30.36144578313253,356,0.36797752808988765
12,AUS,2013,21.0,FT,8,34,10.898082744702322,22.105263157894736,227,0.11894273127753303
13,AUS,2013,42.0,FT,8,34,14.939235253433456,28.789032749428788,271,0.3173431734317343
14,AUS,2014,21.0,FT,8,34,12.053571428571429,23.751178133836003,271,0.11070110701107011
15,AUS,2014,42.0,FT,8,34,18.18837964633706,31.480324797001874,305,0.3344262295081967
16,AUS,2015,21.0,FT,8,34,14.28841428841429,27.106489781283614,273,0.07692307692307693
17,AUS,2015,42.0,FT,8,34,16.30100921609783,27.641681901279707,302,0.2814569536423841
18,AUS,2016,21.0,FT,8,34,10.809265084358021,21.477272727272727,289,0.10034602076124567
19,AUS,2016,42.0,FT,8,34,12.710154673839947,22.225488754961045,297,0.2895622895622896
20,AUS,2017,21.0,FT,8,34,12.181759587495971,23.69905956112853,277,0.10108303249097472
21,AUS,2017,42.0,FT,8,34,15.286624360075672,25.87268993839836,286,0.24475524475524477
22,AUT,2013,20.0,CT,1,3,9.96539792387543,19.5492804778713,133,0.7293233082706767
23,AUT,2013,20.0,FT,1,3,15.611474817620717,21.77858439201452,92,0.45652173913043476
24,AUT,2013,42.0,CT,1,3,11.786279094940852,20.99416828658706,658,0.9103343465045592
25,AUT,2013,42.0,FT,1,3,14.732534346682256,22.716346153846153,361,0.8337950138504155
26,AUT,2014,20.0,CT,1,3,8.861643702209326,21.62162162162162,226,0.8407079646017699
27,AUT,2014,20.0,FT,1,3,13.462977284477457,22.31866088034718,284,0.6584507042253521
28,AUT,2014,42.0,CT,1,3,11.538461538461538,21.575342465753423,773,0.9197930142302717
29,AUT,2014,42.0,FT,1,3,14.721059293155486,23.272279513621672,405,0.8074074074074075
30,AUT,2015,20.0,CT,1,3,10.978956999085087,19.851116625310173,85,0.8705882352941177
31,AUT,2015,20.0,FT,1,3,16.716972370559553,25.64102564102564,147,0.5578231292517006
32,AUT,2015,42.0,CT,1,3,12.305688939529583,19.51975213013168,459,0.9150326797385621
33,AUT,2015,42.0,FT,1,3,17.982873453853472,27.35661299077257,297,0.7912457912457912
34,AUT,2016,20.0,CT,1,3,11.35826857628565,22.966507177033492,102,0.8137254901960784
35,AUT,2016,20.0,FT,1,3,17.017253604348852,25.432709290003533,195,0.5025641025641026
36,AUT,2016,42.0,CT,1,3,15.54596339294748,24.629418472063854,464,0.8125
37,AUT,2016,42.0,FT,1,3,18.586355255070682,27.184466019417478,271,0.7785977859778598
38,AUT,2017,20.0,CT,1,3,11.476863458173092,22.95186483901817,128,0.796875
39,AUT,2017,20.0,FT,1,3,16.089385474860336,24.98265093684941,147,0.5782312925170068
40,AUT,2017,42.0,CT,1,3,14.012344460717365,23.126338329764454,322,0.8571428571428571
41,AUT,2017,42.0,FT,1,3,17.008830696702905,25.44597778525749,246,0.7723577235772358
42,AUT,2018,20.0,CT,1,3,10.463595407644238,21.06495026331188,145,0.8068965517241379
43,AUT,2018,20.0,FT,1,3,12.714109129436693,20.298844093600223,179,0.5195530726256983
44,AUT,2018,42.0,CT,1,3,13.847421925084715,22.48995983935743,409,0.8410757946210269
45,AUT,2018,42.0,FT,1,3,14.768533286394147,21.894005212858385,306,0.7549019607843137
46,CAN,2013,27.0,FT,2,7,13.972552398326844,21.158032215933826,224,0.15178571428571427
47,CAN,2013,38.0,CT,2,7,11.62425371791021,18.052256532066508,162,0.12962962962962962
48,CAN,2013,51.0,FT,2,7,14.764776839565743,20.375097103540117,283,0.254416961130742
49,CAN,2013,55.0,CT,2,7,12.058465330960821,20.387149917627678,350,0.36857142857142855
50,CAN,2014,27.0,CT,2,7,13.507642160665176,20.975399223133362,240,0.15
51,CAN,2014,27.0,FT,2,7,10.488386616405057,17.85123966942149,228,0.16666666666666666
52,CAN,2014,51.0,CT,2,7,11.38857366049389,19.71437775153012,460,0.3978260869565217
53,CAN,2014,51.0,FT,2,7,14.326960593055013,21.483735080739528,303,0.33003300330033003
54,CAN,2015,22.5,FT,2,7,10.817307692307692,18.680811808118083,211,0.18009478672985782
55,CAN,2015,27.0,CT,2,7,9.214143520712863,15.421227986673014,213,0.20657276995305165
56,CAN,2015,42.0,FT,2,7,12.191582002902758,18.3206106870229,209,0.3492822966507177
57,CAN,2015,51.0,CT,2,7,10.242963549491623,14.573741863787903,398,0.3944723618090452
58,CAN,2016,27.0,CT,2,8,11.234396671289876,18.627826753545417,223,0.15246636771300448
59,CAN,2016,27.0,FT,2,8,14.206372405729319,19.760113844277292,227,0.2026431718061674
60,CAN,2016,51.0,CT,2,8,12.202985372650303,20.73873263300576,356,0.3539325842696629
61,CAN,2016,51.0,FT,2,8,14.690350456072972,20.982857142857146,281,0.2846975088967972
62,CAN,2017,27.0,CT,2,7,10.284625965506295,18.89212827988338,275,0.08
63,CAN,2017,27.0,FT,2,7,13.736574335782928,21.09375,247,0.11336032388663968
64,CAN,2017,51.0,CT,2,7,11.737629459148447,20.52313883299799,373,0.2949061662198391
65,CAN,2017,51.0,FT,2,7,13.729155761609213,21.32404181184669,297,0.2895622895622896
66,CAN,2018,27.0,CT,2,7,11.183983431135658,20.266889074228523,263,0.12927756653992395
67,CAN,2018,27.0,FT,2,7,15.460530318794675,21.518707106486605,236,0.11016949152542373
68,CAN,2018,51.0,CT,2,7,12.736732570239335,20.823409322898947,409,0.2616136919315403
69,CAN,2018,51.0,FT,2,7,16.14278834074824,22.84434490481523,364,0.17857142857142858
70,CHN,2015,25.0,CT,2,5,12.966431349949575,20.3527815468114,115,0.2956521739130435
71,CHN,2015,50.0,CT,2,5,15.802642583454476,33.8282277767337,208,0.6826923076923077
72,CHN,2016,25.0,CT,4,13,13.511484762047742,20.242914979757085,89,0.23595505617977527
73,CHN,2016,50.0,CT,4,13,14.907291257319148,21.51565861821659,206,0.7621359223300971
74,CHN,2017,25.0,CT,4,13,11.636928045596775,20.87198515769944,206,0.14563106796116504
75,CHN,2017,50.0,CT,4,13,14.450867052023122,22.796352583586625,209,0.8325358851674641
